Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.6,3.7,3.8,3.9,3.9,4.0,4.1,4.4,4.3,4.8,5.0,5.1
2002,5.2,5.2,5.2,5.4,5.2,5.3,5.3,5.2,5.2,5.3,5.5,5.6
2003,5.6,5.5,5.4,5.7,5.8,6.0,5.9,5.8,5.7,5.6,5.6,5.2
2004,5.2,5.1,5.2,5.1,5.2,5.1,5.0,5.0,5.0,4.9,4.9,4.8
2005,4.7,4.8,4.6,4.4,4.3,4.3,4.2,4.3,4.5,4.3,4.3,4.3
2006,4.1,4.2,4.1,4.2,4.2,4.0,4.1,4.1,3.7,3.9,4.0,3.9
2007,4.2,4.2,4.0,4.0,4.0,4.0,4.2,4.1,4.2,4.3,4.2,4.4
2008,4.5,4.4,4.6,4.6,4.9,5.1,5.4,5.7,6.1,6.3,6.7,7.4
2009,7.9,8.5,9.0,9.5,9.8,9.9,9.8,10.0,10.1,10.4,10.3,10.1
2010,10.2,10.3,10.2,10.2,9.7,9.7,9.6,9.6,9.6,9.4,9.9,9.4
2011,9.0,8.9,8.8,8.9,8.8,9.0,8.8,8.7,8.7,8.6,8.2,8.0
2012,7.7,7.7,7.7,7.6,7.7,7.7,7.7,7.6,7.3,7.2,7.2,7.2
2013,7.5,7.0,6.9,7.2,7.1,7.0,7.0,7.1,7.1,6.9,6.6,6.3
2014,6.2,6.3,6.1,5.9,5.9,5.7,5.7,5.7,5.3,5.1,5.4,5.2
2015,5.3,5.2,5.1,5.0,5.2,4.8,4.8,4.7,4.7,4.7,4.8,4.6
2016,4.3,4.4,4.5,4.7,4.4,4.5,4.7,4.5,4.7,4.6,4.4,4.4
2017,4.3,4.2,4.2,3.9,3.9,3.9,4.0,4.1,3.9,3.9,3.8,3.8
2018,3.7,3.6,3.6,3.7,3.6,3.7,3.4,3.5,3.5,3.6,3.4,3.6
2019,3.6,3.4,3.6,3.4,3.4,3.3,3.3,3.4,3.3,3.4,3.2,3.2
2020,3.2,3.2,4.1,13.0,11.6,10.1,9.3,7.9,7.4,6.7,6.6,6.4
2021,6.1,6.0,5.9,6.0,5.9,5.9,5.4,5.1,4.7,4.3,3.9,3.6
2022,3.8,3.5,3.4,3.5,3.4,3.4,3.2,3.5,3.3,3.3,3.3,3.1
2023,3.2,3.3,3.4,3.3,3.5,3.4,3.3,3.7,3.8,,,
